text,富强,民主,文明,和谐,自由,平等,公正,法治,爱国,敬业,诚信,友善
（反馈）编辑同志：2017年1月7日，贵报读者来信版“身边事”栏目，以《村民期盼早日打通“小康路”》为题，刊发了笔者反映河南省周口市淮阳县王店乡范老家梁庄村村道仍是恶劣“泥巴路”的来信。文章指出，该村道既是村民出行的必经之路，也是该村的致富之路，不仅影响村民的出行生活，农业生产物资和经营产品的进出购销也十分不便，还存在安全隐患。文章见报后，周口市委认真研究，淮阳县扶贫、交通等有关单位实地走访勘察，提出建设规划。2017年底，该道路被纳入淮阳县2018年度村内道路硬化建设规划。经过紧张施工，该道路已于8月12日实现水泥硬化铺设，修好了村民期盼已久的“小康路”，有效改善了当地农村“最后一公里”的出行状况。河南淮阳县?梁修明,1,1,0,1,0,0,0,0,0,0,0,0
（曝光）我们是湖南岳阳市岳阳楼区洛王街道麻石坡危房区的全体居民，这里共有房屋23栋、租住户200多人。麻石坡原是一块平地，此前由于修建巴陵中路没有铺设排水管道，再加上西边房地产项目建设，路势增高5米，我们这里的危房区变成了洼地，一到下雨天就形成内涝，许多墙面出现断裂迹象。这里消防设备缺乏，消防道路被挤占，一旦有险情极易造成人员伤亡。恳请有关政府部门及时采取措施加以整治。麻石坡危房区全体居民,0,0,0,1,0,0,0,0,0,0,0,0
：（看台人语）为了生计，一个梦想成为摇滚巨星的落魄乐手，冒名顶替好友进入校风严谨的私立学校当代课教师，在一连串令人啼笑皆非的故事之后，这群孩子渐渐找到了自我……音乐剧改编自一部同名电影，是曾创作过《猫》《剧院魅影》等经典作品的音乐剧大师劳埃德·韦伯的新作。剧中探讨的成长教育、亲子沟通、自我价值的实现等人生命题，很容易引起共鸣，幽默中充满温情。12个孩子的真弹真唱技惊四座，轻松点燃了现场气氛。最用心的是，为更适应中国文化背景，多处笑点在字幕翻译上做了本土化处理，如QQ、“稻香村的包装”以及“凉凉”等网络用语。（翊?乔）,0,0,1,1,0,0,0,0,0,0,0,0
：（看台人语）中国国家交响乐团推出《龙声华韵》系列音乐会这个品牌已经有十几年了，立意于弘扬民族音乐文化，扶持中国民族音乐家，传扬民族交响乐佳作。最近举办的这场是作曲家张千一作品的专场音乐会，从交响音画、前奏曲、协奏曲、舞剧音乐等作曲家的各类作品中挑选了最有代表性之作。很喜欢交响音画《北方森林》，旋律动听，有很强的画面感。（周飞亚）,0,0,1,0,0,0,0,0,0,0,0,0
：（看台人语）作为鼓楼西剧场5周年庆典的剧目，这部戏值得一看。一位即将评上终身教职、名利双收的教授，一位自卑敏感、忐忑不安的女学生，一次看似平常的课外辅导，却导致一个出乎意料的结局。《奥利安娜》的主题意蕴丰富，该剧在世界各地演出时，往往都能让观众走出剧场还在争辩。编剧戴维·马梅特是美国著名剧作家和导演，作品多次获得普利策奖和托尼奖，《奥利安娜》也相当有水准。不过，中文版台词略有些翻译腔，加之文化背景差异，对中国观众来说可能还是有些距离感。文：嘉??木,0,0,1,0,0,0,0,0,0,1,0,0
［十三届］第十五号福建省第十三届人大常委会第二十一次会议补选王宁为第十三届全国人民代表大会代表。第十三届全国人民代表大会常务委员会第二十一次会议根据代表资格审查委员会提出的报告，确认王宁的代表资格有效。内蒙古自治区人大常委会决定接受郝茂荣辞去第十三届全国人民代表大会代表职务。湖南省人大常委会决定接受刘和生辞去第十三届全国人民代表大会代表职务。甘肃省人大常委会决定接受尚伦生辞去第十三届全国人民代表大会代表职务。依照《中华人民共和国全国人民代表大会和地方各级人民代表大会代表法》的有关规定，郝茂荣、刘和生、尚伦生的代表资格终止。第十三届全国人民代表大会代表申纪兰、万卫星去世。全国人民代表大会常务委员会对申纪兰、万卫星代表的去世表示哀悼。申纪兰、万卫星的代表资格自然终止。截至目前，第十三届全国人民代表大会实有代表2953人。特此公告。全国人民代表大会常务委员会2020年8月1日,0,0,0,0,0,0,0,1,0,0,0,0
“1.2万亩田，马上就能全部种完。我们种的是优质稻种，稻米价格能比普通水稻高不少。”烈日下，湖北省监利市金草帽水稻种植专业合作社负责人周祖清正组织农机手插秧。“合作社社会化服务面积近8万亩，全程机插机收、无人机施肥撒药，现在种粮，真是越来越现代化！”周祖清感叹。监利市委常委、组织部部长石为说：“当前农村最宝贵、最稀缺的便是懂技术、会管理、善经营的新农人，只有培育壮大新农人队伍，开展适度规模化经营，才能更好解决‘谁来种地’问题，促进农业农村现代化。”强化政策供给。监利通过补贴保费的方式鼓励新农人购买保险，灾后通过救灾资金、补贴、贴息贷款等多种方式减少损失。向科技要效益。监利市有关部门组织专家到田间地头传授最新的良技良法，发展“虾稻共作”，大幅提高农民收入。,1,0,0,0,0,0,0,0,0,1,0,0
“10多年前，我有幸见到习近平主席，那是我人生中的一次宝贵经历。”中美洲公共行政研究所创新和可持续发展实验室主任让·保罗·瓦加斯近日在接受本报记者采访时说。2013年6月，习近平主席对哥斯达黎加进行国事访问。“6月3日，我作为哥斯达黎加时任总统钦奇利亚的高级顾问，陪同她在总统府接待了习近平主席。”瓦加斯向记者回忆起当时的热烈场景，“数千名当地青少年和民众簇拥在通往总统府的街道两旁，手中挥舞哥中两国国旗，欢迎中国贵宾。习近平主席不断向大家挥手致意。”令瓦加斯感动的是，习近平主席抵达总统府后，亲切地问候在场的每一个人，感谢工作人员所做的周到准备。瓦加斯说：“从这些细节中，我真切感受到习近平主席平易近人的风范。”哥斯达黎加是新世纪首个同中国建交的中美洲国家、第一个同中国建立战略伙伴关系的中美洲国家、第一个与中国签署一揽子自贸协定的中美洲国家，也是第一个以立法形式确立“中国文化日”的拉美国家。那次访问期间，两国元首决定加强交流合作，推动双边关系取得更大发展。“‘中哥关系完全可以成为不同规模、不同国情国家友好合作的典范’，习近平主席的话给我留下了深刻印象。”瓦加斯说。,0,0,1,1,0,0,0,0,0,0,0,0
“5块钱炒一个菜10块钱炖一锅汤。”在河南省一家医院附近，开设了一家共享厨房。家属只需缴纳一定的使用费，就能使用场地、锅灶、调味品等为病患做饭。共享厨房帮助病人吃上自家做的可口饭菜，满足患者需求，给很多病人和家属带来了温暖。这正是：医院附近建厨房，家属各自备餐忙。送上最暖家常饭，舒心可口利健康。曹??一图??卜??拉文,0,0,0,1,0,0,0,0,0,0,0,1
“60岁以上老人一餐10块钱，饭菜可口、少油少盐。”中午11点半，辽宁省沈阳市皇姑区牡丹社区79岁的居民李水准时来到社区党群服务中心一楼的食堂，点了酥炸鸡排、葱香干豆腐丝、南瓜炖土豆三样菜，再配上米饭、蛋花汤，一份“一荤两素”套餐便出餐完毕。食堂隔壁是集日间照料、康复训练、中医理疗等功能于一体的居家养老服务中心。“老伴腿脚不好，需要定期做理疗，以前出门去趟医院挺折腾，现在下楼就能做艾灸和推拿。”李水说。创意手工、古诗鉴赏、航模……走上社区党群服务中心二楼，一张课表吸引记者注意。“这是我们打造的幸福教育课堂，在假期全天和工作日下午放学后，为社区的孩子免费提供托管服务，如今已开设30多门课程。”牡丹社区党委书记王晖介绍。之前可不是这样。“以前党群服务中心面向居民就一个服务大厅，碰上有事要办才过来一趟，冷冷清清没啥人气。”李水是牡丹社区的老住户，随着时间推移，社区的硬件变旧，李水和老伴就搬到了别处。转机出现在2021年，沈阳市的老旧小区改造项目实施到牡丹社区。线缆入地改造、楼体加装保温层、增加文体设施，小区面貌焕然一新。不单如此，沈阳市委组织部探索老旧小区改造与社区党群服务中心建设同步推进，注重功能建设规划布局，提升为民服务效能。“我们坚持问需于民，通过召开协商议事会、发放调研问卷等形式充分征集居民意见、诉求。,0,1,0,1,0,0,0,0,0,0,0,0
